,id,tag_reco
0,70107,"['기분전환', '사랑', '발라드', '드라이브', '댄스', '추억', '힙합', '설렘', '휴식', '랩']"
1,7461,"['인디', '피쉬슈즈', '인디스트리트', 'indie', '감성', '회상', '힐링', '잔잔한', '휴식', '사랑']"
2,90348,"['기분전환', '여름', '여행', '신나는', '발라드', '휴식', '스트레스', '운동', '사랑', '산책']"
3,58617,"['감성', '잔잔한', '새벽', '발라드', '밤', '휴식', '기분전환', '인디', '카페', '드라이브']"
4,102395,"['EDM', '드라이브', '일렉', '기분전환', '일렉트로니카', '신나는', '여름', '스트레스', '클럽', 'electronica']"
5,88862,"['기분전환', '드라이브', '신나는', '운동', '휴식', '힐링', '여행', '감성', '여름', '클럽']"
6,42586,"['힙합', '기분전환', '드라이브', '감성', '팝', '알앤비', 'Pop', '팝송', '신나는', '새벽']"
7,133975,"['설렘', '기분전환', '감성', '이별', '휴식', '잔잔한', '카페', '추억', '발라드', '봄']"
8,13244,"['힙합', '랩', '기분전환', '휴식', '드라이브', '힐링', '새벽', '추억', '감성', '밤']"
9,150444,"['감성', '잔잔한', '사랑', '기분전환', '휴식', '카페', '발라드', '이별', '크리스마스', '새벽']"
10,55399,"['JPOP', '팝', 'OST', '중국음악', '중국', '일본', '추억', '기분전환', '중국여행', '월드뮤직']"
11,135323,"['카페', '힐링', '휴식', '감성', '잔잔한', '매장음악', '피아노', '드라이브', '봄', '연주곡']"
12,95217,"['기분전환', '감성', '카페', '휴식', '신나는', '힐링', '사랑', '잔잔한', '팝', '스트레스']"
13,16769,"['뉴에이지', '휴식', '힐링', '잔잔한', '기분전환', '피아노', '연주곡', '까페', '카페', '매장음악']"
14,134527,"['락', '블루스', '블루스락', '한밤', '추억', '남성적인', '기타연주곡', '술', '슬로우', '쓸쓸한']"
15,101357,"['드라이브', '신나는', '카페', '감성', '휴식', '여행', '힐링', '매장음악', '사랑', '재즈']"
16,41491,"['회상', '기분전환', '이별', '사랑', '힐링', '휴식', '슬픔', '새벽', '밤', '감성']"
17,43130,"['기분전환', '감성', '드라이브', '휴식', '잔잔한', '카페', '힐링', '사랑', '새벽', '밤']"
18,106340,"['발라드', '추억', '회상', '감성', '기분전환', '휴식', '이별', '힐링', '사랑', '잔잔한']"
19,57072,"['기분전환', '감성', '드라이브', '휴식', '힐링', '신나는', '잔잔한', '이별', '새벽', '여행']"
20,126173,"['기분전환', '드라이브', '출근', '위로', '졸업', '새학기_개학', '휴식', '힐링', '신나는', '추억']"
21,113806,"['밤', '잔잔한', '감성', '휴식', '이별', '힐링', '슬픔', '추억', '사랑', '발라드']"
22,28732,"['알앤비', '소울', '추억', '드라이브', '팝', '기분전환', '회상', 'Pop', '잔잔한', 'RnB']"
23,129738,"['카페', '휴식', '힐링', '사랑', '감성', '드라이브', '잔잔한', '인디', '봄', '매장음악']"
24,126029,"['힙합', '기분전환', '드라이브', '감성', '알앤비', '그루브', 'HipHop', '신나는', 'Rap', '재즈힙합']"
25,80905,"['추억', '감성', '발라드', '기분전환', '댄스', '회상', '드라이브', '신나는', '명곡', '스트레스']"
26,106151,"['힐링', '기분전환', '잔잔한', '감성', '카페', '새벽', '밤', '드라이브', '사랑', '매장음악']"
27,127901,"['힙합', '드라이브', '기분전환', 'HipHop', '신나는', '외힙', '스트레스', '감성', '알앤비', '클럽']"
